구분,신고(발견),확진,시도,시군구,읍면,리,세부주소,위도,경도,개체구분,위도_clean,경도_clean,geometry,시도_시군구
1269,2021-03-24,2021-03-26,강원도,양구군,국토정중앙면,두무리,산1-1,38.044267,128.086779,폐사체,,,POINT (128.086779 38.044267),강원도 양구군
1270,2021-03-24,2021-03-26,강원도,양구군,국토정중앙면,두무리,산1-1,38.058834,128.089937,폐사체,,,POINT (128.089937 38.058834),강원도 양구군
1271,2021-03-24,2021-03-26,강원도,양구군,방산면,금악리,산1,38.221021,127.89654,폐사체,,,POINT (127.89654 38.221021),강원도 양구군
1272,2021-03-25,2021-03-26,경기도,연천군,청산면,대전리,산164-2,37.995756,127.112079,폐사체,,,POINT (127.112079 37.995756),경기도 연천군
1273,2021-03-24,2021-03-26,강원도,화천군,간동면,방천리,산11-2,38.086918,127.828995,폐사체,,,POINT (127.828995 38.086918),강원도 화천군
1274,2021-03-25,2021-03-26,강원도,화천군,사내면,명월리,산47,38.112711,127.519531,폐사체,,,POINT (127.519531 38.112711),강원도 화천군
1275,2021-03-26,2021-03-28,강원도,화천군,화천읍,대이리,산1,38.105382,127.755461,폐사체,,,POINT (127.755461 38.105382),강원도 화천군
1276,2021-03-26,2021-03-28,강원도,화천군,화천읍,동촌리,산11,38.175255,127.8389,폐사체,,,POINT (127.8389 38.175255),강원도 화천군
1277,2021-03-26,2021-03-28,강원도,화천군,화천읍,동촌리,산11,38.182844,127.818334,폐사체,,,POINT (127.818334 38.182844),강원도 화천군
1278,2021-03-26,2021-03-28,경기도,연천군,청산면,대전리,산164-2,37.995664,127.112009,폐사체,,,POINT (127.112009 37.995664),경기도 연천군
1279,2021-03-26,2021-03-28,강원도,춘천시,서면,오월리,산46-1,37.950332,127.614873,폐사체,,,POINT (127.614873 37.950332),강원도 춘천시
1280,2021-03-29,2021-03-29,강원도,인제군,남면,어론리,산352,37.939475,128.059264,폐사체,,,POINT (128.059264 37.939475),강원도 인제군
1281,2021-03-29,2021-03-29,강원도,춘천시,북산면,추곡리,402-7,38.008774,127.877625,폐사체,,,POINT (127.877625 38.008774),강원도 춘천시
1282,2021-03-30,2021-03-31,강원도,화천군,화천읍,풍산리,산161,38.11808,127.739849,폐사체,,,POINT (127.739849 38.11808),강원도 화천군
1283,2021-03-30,2021-03-31,경기도,연천군,청산면,대전리,산164-2,37.996858,127.109177,폐사체,,,POINT (127.109177 37.996858),경기도 연천군
1284,2021-03-30,2021-03-31,경기도,가평군,북면,화악리,산228,37.98411,127.511309,폐사체,,,POINT (127.511309 37.98411),경기도 가평군
1285,2021-03-30,2021-03-31,강원도,인제군,서화면,서흥리,산170,38.215072,128.180358,폐사체,,,POINT (128.180358 38.215072),강원도 인제군
1286,2021-03-31,2021-04-01,강원도,화천군,화천읍,풍산리,산161,38.118287,127.73979,폐사체,,,POINT (127.73979 38.118287),강원도 화천군
1287,2021-03-31,2021-04-01,경기도,연천군,청산면,대전리,산199,38.006777,127.085473,폐사체,,,POINT (127.085473 38.006777),경기도 연천군
1288,2021-03-31,2021-04-01,경기도,가평군,북면,적목리,산1-28,37.996357,127.462867,폐사체,,,POINT (127.462867 37.996357),경기도 가평군
1289,2021-04-01,2021-04-02,강원도,화천군,화천읍,풍산리,1348,38.120216,127.743093,폐사체,,,POINT (127.743093 38.120216),강원도 화천군
1290,2021-04-01,2021-04-02,경기도,연천군,청산면,대전리,산87,37.996682,127.117648,폐사체,,,POINT (127.117648 37.996682),경기도 연천군
1291,2021-04-01,2021-04-02,강원도,강릉시,주문진읍,장덕리,산157-1,37.88979,128.762737,폐사체,,,POINT (128.762737 37.88979),강원도 강릉시
1292,2021-04-02,2021-04-04,강원도,화천군,화천읍,풍산리,산161,38.119201,127.737169,폐사체,,,POINT (127.737169 38.119201),강원도 화천군
1293,2021-04-02,2021-04-04,강원도,인제군,남면,관대리,산37-1,38.035775,128.120347,폐사체,,,POINT (128.120347 38.035775),강원도 인제군
1294,2021-04-01,2021-04-05,강원도,춘천시,서면,덕두원리,산163-8,37.902331,127.628008,폐사체,,,POINT (127.628008 37.902331),강원도 춘천시
1295,2021-04-04,2021-04-05,경기도,가평군,가평읍,읍내리,산21,37.847333,127.523113,폐사체,,,POINT (127.523113 37.847333),경기도 가평군
